is_anbieter_exprop,geo_lat,geo_lon
Deutsche Wohnen,52.5789,13.3353
Deutsche Wohnen,52.579,13.4202
Deutsche Wohnen,52.467,13.4227
Deutsche Wohnen,52.4678,13.428
Deutsche Wohnen,52.517,13.4828
Deutsche Wohnen,52.5482,13.428
Deutsche Wohnen,52.5171,13.4845
Deutsche Wohnen,52.425,13.4591
Deutsche Wohnen,52.4581,13.5005
Deutsche Wohnen,52.5176,13.4853
Deutsche Wohnen,52.517,13.4828
Deutsche Wohnen,52.497,13.4111
Deutsche Wohnen,52.5299,13.6058
Deutsche Wohnen,52.4672,13.4241
Deutsche Wohnen,52.5888,13.4058
Deutsche Wohnen,52.4301,13.3489
Deutsche Wohnen,52.5476,13.5918
Deutsche Wohnen,52.5213,13.1984
Deutsche Wohnen,52.4114,13.3229
Deutsche Wohnen,52.5393,13.1863
Deutsche Wohnen,52.4367,13.5827
Deutsche Wohnen,52.5917,13.2925
Deutsche Wohnen,52.5171,13.4845
Deutsche Wohnen,52.5159,13.4831
Deutsche Wohnen,52.5491,13.1854
Deutsche Wohnen,52.5415,13.6149
Deutsche Wohnen,52.5506,13.1876
Deutsche Wohnen,52.5505,13.1941
Deutsche Wohnen,52.5644,13.2033
Deutsche Wohnen,52.4555,13.4316
Deutsche Wohnen,52.5167,13.4921
Deutsche Wohnen,52.5156,13.4893
Deutsche Wohnen,52.515,13.4996
Deutsche Wohnen,52.5458,13.5995
Deutsche Wohnen,52.5048,13.3106
Deutsche Wohnen,52.5777,13.4245
Deutsche Wohnen,52.5495,13.1856
Deutsche Wohnen,52.5263,13.4204
Deutsche Wohnen,52.4376,13.4498
